treatment,replicate,month,day,month_adjust,host_age,day_past_infect,day_metsch_infect,day_infect,dead,missing,babies,coinf_treat,notes
8,22,June,26,-20,6,12,15,12,Y,Y,0,3,Replaced (0 babies)
8,23,June,26,-20,6,12,15,12,,,0,3,
8,24,June,26,-20,6,12,15,12,,,0,3,
8,25,June,26,-20,6,12,15,12,,,0,3,
8,26,June,26,-20,6,12,15,12,,,0,3,
8,27,June,26,-20,6,12,15,12,,,0,3,
8,28,June,26,-20,6,12,15,12,,,0,3,
8,29,June,26,-20,6,12,15,12,,,0,3,
8,30,June,26,-20,6,12,15,12,,,0,3,
9,1,June,26,-20,6,15,12,12,,,0,4,
9,2,June,26,-20,6,15,12,12,,,0,4,
9,3,June,26,-20,6,15,12,12,,,0,4,
9,4,June,26,-20,6,15,12,12,,,0,4,
9,5,June,26,-20,6,15,12,12,,,0,4,
9,6,June,26,-20,6,15,12,12,,,0,4,
9,7,June,26,-20,6,15,12,12,,,0,4,
9,8,June,26,-20,6,15,12,12,,,0,4,
9,9,June,26,-20,6,15,12,12,,,0,4,
9,10,June,26,-20,6,15,12,12,,,0,4,
9,11,June,26,-20,6,15,12,12,,,0,4,
9,12,June,26,-20,6,15,12,12,,,0,4,
9,13,June,26,-20,6,15,12,12,,,0,4,
9,14,June,26,-20,6,15,12,12,,,0,4,
9,15,June,26,-20,6,15,12,12,,,0,4,
9,16,June,26,-20,6,15,12,12,,,0,4,
9,17,June,26,-20,6,15,12,12,,,0,4,
9,18,June,26,-20,6,15,12,12,,,0,4,
9,19,June,26,-20,6,15,12,12,,,0,4,
9,20,June,26,-20,6,15,12,12,,,0,4,
9,21,June,26,-20,6,15,12,12,,,0,4,
9,22,June,26,-20,6,15,12,12,,,0,4,
9,23,June,26,-20,6,15,12,12,,,0,4,
9,24,June,26,-20,6,15,12,12,,,0,4,
9,25,June,26,-20,6,15,12,12,,,0,4,
9,26,June,26,-20,6,15,12,12,,,0,4,
9,27,June,26,-20,6,15,12,12,Y,Y,0,4,Replaced (0 babies)
9,28,June,26,-20,6,15,12,12,,,0,4,
9,29,June,26,-20,6,15,12,12,,,0,4,
9,30,June,26,-20,6,15,12,12,,,0,4,
10,1,June,26,-20,6,20,0,20,,,0,1,
10,2,June,26,-20,6,20,0,20,,,0,1,
10,3,June,26,-20,6,20,0,20,,,0,1,
10,4,June,26,-20,6,20,0,20,,,0,1,
10,5,June,26,-20,6,20,0,20,,,0,1,
10,6,June,26,-20,6,20,0,20,,,0,1,
10,7,June,26,-20,6,20,0,20,,,0,1,
10,8,June,26,-20,6,20,0,20,,,0,1,
10,9,June,26,-20,6,20,0,20,,,0,1,
10,10,June,26,-20,6,20,0,20,,,0,1,
10,11,June,26,-20,6,20,0,20,,,0,1,
10,12,June,26,-20,6,20,0,20,,,0,1,
10,13,June,26,-20,6,20,0,20,,,0,1,
10,14,June,26,-20,6,20,0,20,,,0,1,
10,15,June,26,-20,6,20,0,20,,,0,1,
10,16,June,26,-20,6,20,0,20,,,0,1,
10,17,June,26,-20,6,20,0,20,,,0,1,
10,18,June,26,-20,6,20,0,20,,,0,1,
10,19,June,26,-20,6,20,0,20,,,0,1,
10,20,June,26,-20,6,20,0,20,,,0,1,
10,21,June,26,-20,6,20,0,20,,,0,1,
10,22,June,26,-20,6,20,0,20,,,0,1,
10,23,June,26,-20,6,20,0,20,,,0,1,
10,24,June,26,-20,6,20,0,20,,,0,1,
10,25,June,26,-20,6,20,0,20,,,0,1,
10,26,June,26,-20,6,20,0,20,,,0,1,
10,27,June,26,-20,6,20,0,20,,,0,1,
